result_id,student_id,subject_id,window_id,school_year,scaled_score,percentile_rank,benchmark_category
R0000001,STU00001,SUBJ_R,W1,2024-2025,222.0,43,At/Above Benchmark
R0000002,STU00001,SUBJ_R,W2,2024-2025,193.1,35,On Watch
R0000003,STU00001,SUBJ_R,W3,2024-2025,175.1,40,At/Above Benchmark
R0000004,STU00001,SUBJ_M,W1,2024-2025,65.0,24,Intervention
R0000005,STU00001,SUBJ_M,W2,2024-2025,132.7,45,At/Above Benchmark
R0000006,STU00001,SUBJ_M,W3,2024-2025,89.9,26,On Watch
R0000007,STU00002,SUBJ_R,W1,2024-2025,398.0,48,At/Above Benchmark
R0000008,STU00002,SUBJ_R,W2,2024-2025,447.7,49,At/Above Benchmark
R0000009,STU00002,SUBJ_R,W3,2024-2025,533.2,60,At/Above Benchmark
R0000010,STU00002,SUBJ_M,W1,2024-2025,330.8,29,On Watch
R0000011,STU00002,SUBJ_M,W2,2024-2025,295.2,24,Intervention
R0000012,STU00002,SUBJ_M,W3,2024-2025,330.4,29,On Watch
R0000013,STU00003,SUBJ_R,W1,2024-2025,298.2,48,At/Above Benchmark
R0000014,STU00003,SUBJ_R,W2,2024-2025,282.2,37,On Watch
R0000015,STU00003,SUBJ_R,W3,2024-2025,310.5,46,At/Above Benchmark
R0000016,STU00003,SUBJ_M,W1,2024-2025,421.8,68,At/Above Benchmark
R0000017,STU00003,SUBJ_M,W2,2024-2025,450.2,56,At/Above Benchmark
R0000018,STU00003,SUBJ_M,W3,2024-2025,462.3,64,At/Above Benchmark
R0000019,STU00004,SUBJ_R,W1,2024-2025,524.9,39,On Watch
R0000020,STU00004,SUBJ_R,W2,2024-2025,504.6,36,On Watch
R0000021,STU00004,SUBJ_R,W3,2024-2025,529.8,46,At/Above Benchmark
R0000022,STU00004,SUBJ_M,W1,2024-2025,565.3,55,At/Above Benchmark
R0000023,STU00004,SUBJ_M,W2,2024-2025,565.9,62,At/Above Benchmark
R0000024,STU00004,SUBJ_M,W3,2024-2025,498.6,54,At/Above Benchmark
R0000025,STU00005,SUBJ_R,W1,2024-2025,182.5,39,On Watch
R0000026,STU00005,SUBJ_R,W2,2024-2025,150.4,34,On Watch
R0000027,STU00005,SUBJ_R,W3,2024-2025,92.2,28,On Watch
