result_id,student_id,school_id,subject_id,window_id,window_sort,school_year,scaled_score,percentile_rank,benchmark_category,is_proficient,is_at_risk
R0000001,STU00001,S001,SUBJ_R,W1,1,2024-2025,222.0,43,At/Above Benchmark,True,False
R0000002,STU00001,S001,SUBJ_R,W2,2,2024-2025,193.1,35,On Watch,False,False
R0000003,STU00001,S001,SUBJ_R,W3,3,2024-2025,175.1,40,At/Above Benchmark,True,False
R0000004,STU00001,S001,SUBJ_M,W1,1,2024-2025,65.0,24,Intervention,False,True
R0000005,STU00001,S001,SUBJ_M,W2,2,2024-2025,132.7,45,At/Above Benchmark,True,False
R0000006,STU00001,S001,SUBJ_M,W3,3,2024-2025,89.9,26,On Watch,False,False
R0000007,STU00002,S001,SUBJ_R,W1,1,2024-2025,398.0,48,At/Above Benchmark,True,False
R0000008,STU00002,S001,SUBJ_R,W2,2,2024-2025,447.7,49,At/Above Benchmark,True,False
R0000009,STU00002,S001,SUBJ_R,W3,3,2024-2025,533.2,60,At/Above Benchmark,True,False
R0000010,STU00002,S001,SUBJ_M,W1,1,2024-2025,330.8,29,On Watch,False,False
R0000011,STU00002,S001,SUBJ_M,W2,2,2024-2025,295.2,24,Intervention,False,True
R0000012,STU00002,S001,SUBJ_M,W3,3,2024-2025,330.4,29,On Watch,False,False
R0000013,STU00003,S001,SUBJ_R,W1,1,2024-2025,298.2,48,At/Above Benchmark,True,False
R0000014,STU00003,S001,SUBJ_R,W2,2,2024-2025,282.2,37,On Watch,False,False
R0000015,STU00003,S001,SUBJ_R,W3,3,2024-2025,310.5,46,At/Above Benchmark,True,False
R0000016,STU00003,S001,SUBJ_M,W1,1,2024-2025,421.8,68,At/Above Benchmark,True,False
R0000017,STU00003,S001,SUBJ_M,W2,2,2024-2025,450.2,56,At/Above Benchmark,True,False
R0000018,STU00003,S001,SUBJ_M,W3,3,2024-2025,462.3,64,At/Above Benchmark,True,False
R0000019,STU00004,S001,SUBJ_R,W1,1,2024-2025,524.9,39,On Watch,False,False
R0000020,STU00004,S001,SUBJ_R,W2,2,2024-2025,504.6,36,On Watch,False,False
R0000021,STU00004,S001,SUBJ_R,W3,3,2024-2025,529.8,46,At/Above Benchmark,True,False
R0000022,STU00004,S001,SUBJ_M,W1,1,2024-2025,565.3,55,At/Above Benchmark,True,False
R0000023,STU00004,S001,SUBJ_M,W2,2,2024-2025,565.9,62,At/Above Benchmark,True,False
R0000024,STU00004,S001,SUBJ_M,W3,3,2024-2025,498.6,54,At/Above Benchmark,True,False
R0000025,STU00005,S001,SUBJ_R,W1,1,2024-2025,182.5,39,On Watch,False,False
R0000026,STU00005,S001,SUBJ_R,W2,2,2024-2025,150.4,34,On Watch,False,False
R0000027,STU00005,S001,SUBJ_R,W3,3,2024-2025,92.2,28,On Watch,False,False
R0000028,STU00005,S001,SUBJ_M,W1,1,2024-2025,408.7,79,At/Above Benchmark,True,False
R0000029,STU00005,S001,SUBJ_M,W2,2,2024-2025,392.2,66,At/Above Benchmark,True,False
R0000030,STU00005,S001,SUBJ_M,W3,3,2024-2025,440.6,76,At/Above Benchmark,True,False
R0000031,STU00006,S001,SUBJ_R,W1,1,2024-2025,788.0,50,At/Above Benchmark,True,False
R0000032,STU00006,S001,SUBJ_R,W2,2,2024-2025,826.4,57,At/Above Benchmark,True,False
R0000033,STU00006,S001,SUBJ_R,W3,3,2024-2025,905.3,71,At/Above Benchmark,True,False
R0000034,STU00006,S001,SUBJ_M,W1,1,2024-2025,619.2,38,On Watch,False,False
R0000035,STU00006,S001,SUBJ_M,W2,2,2024-2025,655.9,44,At/Above Benchmark,True,False
R0000036,STU00006,S001,SUBJ_M,W3,3,2024-2025,715.1,57,At/Above Benchmark,True,False
R0000037,STU00007,S001,SUBJ_R,W1,1,2024-2025,410.9,7,Urgent Intervention,False,True
R0000038,STU00007,S001,SUBJ_R,W2,2,2024-2025,475.5,3,Urgent Intervention,False,True
R0000039,STU00007,S001,SUBJ_R,W3,3,2024-2025,567.0,26,On Watch,False,False
